subnum	congruent	cuepos	normalizedResp	response	rt	soa	targetorientation	targetpos
1	1	2	-19.594757077	122.905242923	4.38405395529	0.4	142.5	2
1	1	1	23.7930389959	166.293038996	3.48440597698	0.4	142.5	1
1	0	2	-81.2815972357	121.218402764	6.03339781852	0.4	22.5	1
1	0	1	5.86342295838	43.3634229584	3.65098178183	0.1	37.5	2
1	0	-1	5.32525588539	132.825255885	2.65143795406	0.4	127.5	1
1	0	2	31.1598082541	128.659808254	2.48479362083	-0.1	97.5	1
1	0	1	40.731711068	168.231711068	4.71727175283	0.4	127.5	2
1	0	1	-9.409152433	43.090847567	2.73478891383	0.1	52.5	2
1	0	-1	36.3150253413	148.815025341	2.25153082575	0.4	112.5	1
1	0	-1	0.825650330427	8.32565033043	4.36739521929	0.4	7.5	2
1	0	-1	-7.5	90.0	3.48445171306	0.1	97.5	1
1	0	2	15.8256503304	98.3256503304	2.76804844806	0.4	82.5	1
1	0	2	68.2638984609	45.7638984609	3.91767373798	0.4	157.5	1
1	0	1	3.84777721969	131.34777722	4.06763331752	0.1	127.5	2
1	1	1	0.488716802081	157.988716802	4.1841664402	0.4	157.5	1
1	1	2	-64.5750220508	47.9249779492	3.58435485298	-0.1	112.5	2
1	0	1	-28.037677792	54.462322208	2.36820571598	-0.1	82.5	2
1	1	2	0.928692808745	68.4286928087	5.13379432406	0.1	67.5	2
1	1	1	-70.1425452941	42.3574547059	2.56817822152	0.4	112.5	1
1	1	1	-6.11045966597	61.389540334	3.1011999396	0.1	67.5	1
1	0	2	23.6443387803	106.14433878	2.51820849398	0.1	82.5	1
1	1	2	-11.3247100182	26.1752899818	2.4181696196	0.4	37.5	2
1	0	2	-22.5	90.0	4.35084834906	0.1	112.5	1
1	0	2	74.3014094864	66.8014094864	2.78472846098	-0.1	172.5	1
1	1	1	70.6798301199	93.1798301199	5.11714401406	0.4	22.5	1
1	1	2	-19.1114864239	33.3885135761	3.16784261075	0.4	52.5	2
1	1	1	-29.9053566314	142.594643369	4.71743987752	0.4	172.5	1
1	1	2	8.68497465874	31.1849746587	2.7847284122	-0.1	22.5	2
1	1	2	2.36362150757	174.863621508	4.1342874026	-0.1	172.5	2
1	0	2	4.13363399894	11.6336339989	2.93460210052	0.1	7.5	1
